web-scraper-order,web-scraper-start-url,link_toko,link_toko-href,nama_toko,Jml_produk,chat,follower,rating_toko,bergabung,promo,alamat_toko,link_produk,link_produk-href,nama_produk,promo_produk,terjual,gratis_ongkir,favorit
"1669035857-2","https://shopee.co.id/mall/brands/11042849","69Slam","https://shopee.co.id/69slam","","439","43% (hitungan jam)","7,4RB","4.8 (1,7RB penilaian)","24 bulan lalu","null","KAB. BADUNG","30%off69slam Sandal pria ARSIKI-ATDiskon 20%Murah LebayRp285.000Rp199.000110 TerjualKAB. BADUNG","https://shopee.co.id/69slam-Sandal-pria-ARSIKI-AT-i.340815435.12428025981?sp_atk=e75a53d1-aa82-44d0-8261-8e8d42e6e5ec&xptdk=e75a53d1-aa82-44d0-8261-8e8d42e6e5ec","null","null","null","null","null"
"1669035891-3","https://shopee.co.id/mall/brands/11042849","4CM","https://shopee.co.id/4cmstore","","508","35% (hitungan jam)","60,8RB","4.7 (28,5RB penilaian)","5 tahun lalu","null","KOTA DEPOK","30%off4CM Boxer black fireMurah LebayRp99.000Rp69.30010RB+ TerjualKOTA DEPOK","https://shopee.co.id/4CM-Boxer-black-fire-i.32984432.7155464356?sp_atk=cb26452b-a27c-4fdc-8b56-07128f4156c9&xptdk=cb26452b-a27c-4fdc-8b56-07128f4156c9","null","null","null","null","null"
"1669035928-4","https://shopee.co.id/mall/brands/11042849","4.20","https://shopee.co.id/4.20official","","121","80% (hitungan jam)","50,9RB","4.9 (7,2RB penilaian)","4 tahun lalu","null","KOTA BANDUNG","40%off4.20 T-Shirt Philosophy Mandala NavyPilih 2, bayar Rp170.000Rp102.000 - Rp170.000326 TerjualKOTA BANDUNG","https://shopee.co.id/4.20-T-Shirt-Philosophy-Mandala-Navy-i.87828273.10739275158?sp_atk=c343229c-a630-4e68-afb1-46acd3ac54a1&xptdk=c343229c-a630-4e68-afb1-46acd3ac54a1","null","null","null","null","null"
"1669035965-5","https://shopee.co.id/mall/brands/11042849","3Second","https://shopee.co.id/3secondshop","","9,2RB","84% (hitungan jam)","451,6RB","4.9 (116,1RB penilaian)","6 tahun lalu","null","KOTA BANDUNG","40%off3Second Men Jacket 021021Rp449.500Rp269.70049 TerjualKOTA BANDUNG","https://shopee.co.id/3Second-Men-Jacket-021021-i.18358818.11761195939?sp_atk=3f9d104b-9670-4d1b-99c6-57af6d591330&xptdk=3f9d104b-9670-4d1b-99c6-57af6d591330","null","null","null","null","null"
"1669044560-6","https://shopee.co.id/mall/brands/11042849","2nd Red","https://shopee.co.id/2ndred","","311","84% (hitungan jam)","8,9RB","4.8 (13,1RB penilaian)","5 tahun lalu","null","KAB. BANDUNG BARAT","66%off2nd Red Celana Jeans Legend Slim Fit Premium Bahan Melar Warna Biru Muda 133266Diskon 10%Rp399.900Rp135.0004,4RB TerjualKAB. BANDUNG BARAT","https://shopee.co.id/2nd-Red-Celana-Jeans-Legend-Slim-Fit-Premium-Bahan-Melar-Warna-Biru-Muda-133266-i.23917033.1889960272?sp_atk=b6829f3d-bf8c-4176-8d0f-5c3b480800c8&xptdk=b6829f3d-bf8c-4176-8d0f-5c3b480800c8","null","null","null","null","null"
"1669044583-7","https://shopee.co.id/mall/brands/11042849","2FAB4YOU","https://shopee.co.id/2fab4you","","null","40% (hitungan menit)","1,9RB","4.9 (426 penilaian)","4 tahun lalu","null","KOTA JAKARTA BARAT","2FAB4YOU T-shirt OG FLAMINGO White/Putih - Pria/WanitaRp199.00013 TerjualKOTA JAKARTA BARAT","https://shopee.co.id/2FAB4YOU-T-shirt-OG-FLAMINGO-White-Putih-Pria-Wanita-i.73775993.2881168942?sp_atk=b5edda89-2b43-49cf-ad5f-fc33c0c50f05&xptdk=b5edda89-2b43-49cf-ad5f-fc33c0c50f05","null","null","null","null","null"
"1669044608-8","https://shopee.co.id/mall/brands/11042849","17Seven","https://shopee.co.id/seventeenseven","","null","78% (hitungan jam)","80,5RB","4.7 (48,6RB penilaian)","4 tahun lalu","null","KOTA JAKARTA TIMUR","78%off17Seven Original Celana Panjang Chino 015-HITAM-AKMurah LebayRp90.000 - Rp99.00010RB+ TerjualKOTA JAKARTA TIMUR","https://shopee.co.id/17Seven-Original-Celana-Panjang-Chino-015-HITAM-AK-i.91485121.7350661850?sp_atk=a848576c-7fbc-4b4a-8c1c-c1bd7d4fdb9b&xptdk=a848576c-7fbc-4b4a-8c1c-c1bd7d4fdb9b","null","null","null","null","null"
"1669044632-9","https://shopee.co.id/mall/brands/11042849","07:35","https://shopee.co.id/0735_apparel","","52","74% (hitungan jam)","9,3RB","4.9 (1,4RB penilaian)","27 bulan lalu","null","KOTA JAKARTA UTARA","07:35 - Random SaleRp73.500243 TerjualKOTA JAKARTA UTARA","https://shopee.co.id/07-35-Random-Sale-i.298491252.9975420944?sp_atk=a58fd7f0-b04c-4389-9306-f25b068a3d9a&xptdk=a58fd7f0-b04c-4389-9306-f25b068a3d9a","null","null","null","null","null"
"1669044657-10","https://shopee.co.id/mall/brands/11042849","Zweckout Label","https://shopee.co.id/zweckout_label.official","","81","96% (hitungan jam)","15,5RB","4.6 (16,2RB penilaian)","5 tahun lalu","null","KAB. BANDUNG","44%offZWECKOUT LABEL - Celana Joger Slim Fit Skinny Jogger Pants Pria Korean Style HitamDiskon Rp5RBMurah LebayRp160.000Rp89.00010RB+ TerjualKAB. BANDUNG","https://shopee.co.id/ZWECKOUT-LABEL-Celana-Joger-Slim-Fit-Skinny-Jogger-Pants-Pria-Korean-Style-Hitam-i.59825614.6716661856?sp_atk=74c5b1e2-9b22-4be0-bd4d-e983261bfecd&xptdk=74c5b1e2-9b22-4be0-bd4d-e983261bfecd","null","null","null","null","null"
"1669044681-11","https://shopee.co.id/mall/brands/11042849","Zhon Army","https://shopee.co.id/zhonarmy","","37","71% (hitungan jam)","4,2RB","4.5 (213 penilaian)","4 bulan lalu","null","KAB. BANDUNG","ZHON ARMY - Ciel UnderPants - Cd Boxer Pria RandomDiskon 90%Rp50.000 - Rp200.000465 TerjualKAB. BANDUNG","https://shopee.co.id/ZHON-ARMY-Ciel-UnderPants-Cd-Boxer-Pria-Random-i.832121891.16581051299?sp_atk=286b9230-02a0-4cac-9931-bd1d6f3fbea4&xptdk=286b9230-02a0-4cac-9931-bd1d6f3fbea4","null","null","null","null","null"
